,model generator module name,encoder type,decoder type,encoder weights,desired input size,pretrained,lr backbone,lr head,optimizer,hidden size,batch size,log segmentation masks,in chans,input size,generate experiment dir,experiment name,experiment type,benchmark dir,benchmark name,partition name,tasks,seed,log dir,best step,score,convergence time,train loss,epoch,test FBeta,val loss,val metric,val FBeta,test loss,test metric,train metric,train FBeta,dataset,exp dir,csv log dir,model,date str,date
2062,geobench exp.torch toolbox.model generators.py segmentation generator,ResNet50-timm,Unet,imagenet,224,True,0.001202384991209872,0.0017585318652680194,sgd,512,32,False,3,"[3, 224, 224]",/mnt/data/experiments/nils/camera segmentation sweeps,1.00x train,seeded runs,/mnt/data/cc benchmark/segmentation v0.4,segmentation v0.4,1.00x train,"['m-pv4ger-seg', 'm-chesapeake', 'm-cashew-plant', 'm-SA-crop-type', 'm-nz-cattle', 'm-NeonTree']",0,/mnt/data/experiments/nils/camera_segmentation_seeds/1.00x_train_segmentation_v0.4_11-07-2023_16:20:41resnet50_Unet/m-pv4ger-seg/seed_0/csv_logs/version_3,55340,0.9435172345903186,26752.0,0.0212618093937635,588,0.9816427826881408,0.0669220760464668,0.9435495138168336,0.9812961220741272,0.0701934173703193,0.9395764470100404,0.9747148752212524,0.9917762875556946,m-pv4ger-seg,/mnt/data/experiments/nils/camera segmentation seeds/1.00x train segmentation v0.4 11-07-2023 16:20:41resnet50 Unet/m-pv4ger-seg/seed 0,/mnt/data/experiments/nils/camera segmentation seeds/1.00x train segmentation v0.4 11-07-2023 16:20:41resnet50 Unet/m-pv4ger-seg/seed 0/csv logs/version 3,ResNet50-U-Net-timm,11-07-2023,2023-11-07
2063,geobench exp.torch toolbox.model generators.py segmentation generator,ResNet50-timm,Unet,imagenet,224,True,0.001202384991209872,0.0017585318652680194,sgd,512,32,False,3,"[3, 224, 224]",/mnt/data/experiments/nils/camera segmentation sweeps,1.00x train,seeded runs,/mnt/data/cc benchmark/segmentation v0.4,segmentation v0.4,1.00x train,"['m-pv4ger-seg', 'm-chesapeake', 'm-cashew-plant', 'm-SA-crop-type', 'm-nz-cattle', 'm-NeonTree']",1,/mnt/data/experiments/nils/camera_segmentation_seeds/1.00x_train_segmentation_v0.4_11-07-2023_16:20:41resnet50_Unet/m-pv4ger-seg/seed_1/csv_logs/version_2,53671,0.9433588981628417,35840.0,0.0218139477074146,570,0.9816054105758668,0.0697123929858207,0.9430594444274902,0.9811293482780457,0.0701827928423881,0.9396859407424928,0.974580943584442,0.9917301535606384,m-pv4ger-seg,/mnt/data/experiments/nils/camera segmentation seeds/1.00x train segmentation v0.4 11-07-2023 16:20:41resnet50 Unet/m-pv4ger-seg/seed 1,/mnt/data/experiments/nils/camera segmentation seeds/1.00x train segmentation v0.4 11-07-2023 16:20:41resnet50 Unet/m-pv4ger-seg/seed 1/csv logs/version 2,ResNet50-U-Net-timm,11-07-2023,2023-11-07
2064,geobench exp.torch toolbox.model generators.py segmentation generator,ResNet50-timm,Unet,imagenet,224,True,0.001202384991209872,0.0017585318652680194,sgd,512,32,False,3,"[3, 224, 224]",/mnt/data/experiments/nils/camera segmentation sweeps,1.00x train,seeded runs,/mnt/data/cc benchmark/segmentation v0.4,segmentation v0.4,1.00x train,"['m-pv4ger-seg', 'm-chesapeake', 'm-cashew-plant', 'm-SA-crop-type', 'm-nz-cattle', 'm-NeonTree']",2,/mnt/data/experiments/nils/camera_segmentation_seeds/1.00x_train_segmentation_v0.4_11-07-2023_16:20:41resnet50_Unet/m-pv4ger-seg/seed_2/csv_logs/version_6,55810,0.9455344279607135,27904.0,0.0184625498950481,593,0.9817978143692015,0.0647179260849952,0.945375382900238,0.9818593859672546,0.0670116096735,0.9403316974639891,0.9750356674194336,0.9918818473815918,m-pv4ger-seg,/mnt/data/experiments/nils/camera segmentation seeds/1.00x train segmentation v0.4 11-07-2023 16:20:41resnet50 Unet/m-pv4ger-seg/seed 2,/mnt/data/experiments/nils/camera segmentation seeds/1.00x train segmentation v0.4 11-07-2023 16:20:41resnet50 Unet/m-pv4ger-seg/seed 2/csv logs/version 6,ResNet50-U-Net-timm,11-07-2023,2023-11-07
2065,geobench exp.torch toolbox.model generators.py segmentation generator,ResNet50-timm,Unet,imagenet,224,True,0.001202384991209872,0.0017585318652680194,sgd,512,32,False,3,"[3, 224, 224]",/mnt/data/experiments/nils/camera segmentation sweeps,1.00x train,seeded runs,/mnt/data/cc benchmark/segmentation v0.4,segmentation v0.4,1.00x train,"['m-pv4ger-seg', 'm-chesapeake', 'm-cashew-plant', 'm-SA-crop-type', 'm-nz-cattle', 'm-NeonTree']",3,/mnt/data/experiments/nils/camera_segmentation_seeds/1.00x_train_segmentation_v0.4_11-07-2023_16:20:41resnet50_Unet/m-pv4ger-seg/seed_3/csv_logs/version_0,53765,0.9444470869170295,30464.0,0.0177662819623947,571,0.9816533923149108,0.068536452949047,0.9442787766456604,0.981520414352417,0.069377027451992,0.9396755695343018,0.9744281768798828,0.9916790127754213,m-pv4ger-seg,/mnt/data/experiments/nils/camera segmentation seeds/1.00x train segmentation v0.4 11-07-2023 16:20:41resnet50 Unet/m-pv4ger-seg/seed 3,/mnt/data/experiments/nils/camera segmentation seeds/1.00x train segmentation v0.4 11-07-2023 16:20:41resnet50 Unet/m-pv4ger-seg/seed 3/csv logs/version 0,ResNet50-U-Net-timm,11-07-2023,2023-11-07
2066,geobench exp.torch toolbox.model generators.py segmentation generator,ResNet50-timm,Unet,imagenet,224,True,0.001202384991209872,0.0017585318652680194,sgd,512,32,False,3,"[3, 224, 224]",/mnt/data/experiments/nils/camera segmentation sweeps,1.00x train,seeded runs,/mnt/data/cc benchmark/segmentation v0.4,segmentation v0.4,1.00x train,"['m-pv4ger-seg', 'm-chesapeake', 'm-cashew-plant', 'm-SA-crop-type', 'm-nz-cattle', 'm-NeonTree']",4,/mnt/data/experiments/nils/camera_segmentation_seeds/1.00x_train_segmentation_v0.4_11-07-2023_16:20:41resnet50_Unet/m-pv4ger-seg/seed_4/csv_logs/version_0,54964,0.9444086419211494,31488.0,0.0206519905477762,584,0.9816070795059204,0.0678776875138282,0.944229006767273,0.9815365076065063,0.0697679743170738,0.93962299823761,0.9749583005905152,0.9918533563613892,m-pv4ger-seg,/mnt/data/experiments/nils/camera segmentation seeds/1.00x train segmentation v0.4 11-07-2023 16:20:41resnet50 Unet/m-pv4ger-seg/seed 4,/mnt/data/experiments/nils/camera segmentation seeds/1.00x train segmentation v0.4 11-07-2023 16:20:41resnet50 Unet/m-pv4ger-seg/seed 4/csv logs/version 0,ResNet50-U-Net-timm,11-07-2023,2023-11-07
2067,geobench exp.torch toolbox.model generators.py segmentation generator,ResNet50-timm,Unet,imagenet,224,True,0.001202384991209872,0.0017585318652680194,sgd,512,32,False,3,"[3, 224, 224]",/mnt/data/experiments/nils/camera segmentation sweeps,1.00x train,seeded runs,/mnt/data/cc benchmark/segmentation v0.4,segmentation v0.4,1.00x train,"['m-pv4ger-seg', 'm-chesapeake', 'm-cashew-plant', 'm-SA-crop-type', 'm-nz-cattle', 'm-NeonTree']",5,/mnt/data/experiments/nils/camera_segmentation_seeds/1.00x_train_segmentation_v0.4_11-07-2023_16:20:41resnet50_Unet/m-pv4ger-seg/seed_5/csv_logs/version_0,44553,0.9437459839714896,30592.0,0.022827697917819,473,0.9816808104515076,0.068107783794403,0.9433443546295166,0.9811922907829284,0.0675816163420677,0.9399365186691284,0.9735337495803832,0.9913827180862428,m-pv4ger-seg,/mnt/data/experiments/nils/camera segmentation seeds/1.00x train segmentation v0.4 11-07-2023 16:20:41resnet50 Unet/m-pv4ger-seg/seed 5,/mnt/data/experiments/nils/camera segmentation seeds/1.00x train segmentation v0.4 11-07-2023 16:20:41resnet50 Unet/m-pv4ger-seg/seed 5/csv logs/version 0,ResNet50-U-Net-timm,11-07-2023,2023-11-07
2068,geobench exp.torch toolbox.model generators.py segmentation generator,ResNet50-timm,Unet,imagenet,224,True,0.001202384991209872,0.0017585318652680194,sgd,512,32,False,3,"[3, 224, 224]",/mnt/data/experiments/nils/camera segmentation sweeps,1.00x train,seeded runs,/mnt/data/cc benchmark/segmentation v0.4,segmentation v0.4,1.00x train,"['m-pv4ger-seg', 'm-chesapeake', 'm-cashew-plant', 'm-SA-crop-type', 'm-nz-cattle', 'm-NeonTree']",6,/mnt/data/experiments/nils/camera_segmentation_seeds/1.00x_train_segmentation_v0.4_11-07-2023_16:20:41resnet50_Unet/m-pv4ger-seg/seed_6/csv_logs/version_0,49489,0.9447195000118679,21760.0,0.0190121866762638,526,0.9818177223205566,0.0673495456576347,0.9441772103309632,0.9815201163291932,0.0685562863945961,0.9401187896728516,0.973641872406006,0.9914186000823976,m-pv4ger-seg,/mnt/data/experiments/nils/camera segmentation seeds/1.00x train segmentation v0.4 11-07-2023 16:20:41resnet50 Unet/m-pv4ger-seg/seed 6,/mnt/data/experiments/nils/camera segmentation seeds/1.00x train segmentation v0.4 11-07-2023 16:20:41resnet50 Unet/m-pv4ger-seg/seed 6/csv logs/version 0,ResNet50-U-Net-timm,11-07-2023,2023-11-07
2069,geobench exp.torch toolbox.model generators.py segmentation generator,ResNet50-timm,Unet,imagenet,224,True,0.001202384991209872,0.0017585318652680194,sgd,512,32,False,3,"[3, 224, 224]",/mnt/data/experiments/nils/camera segmentation sweeps,1.00x train,seeded runs,/mnt/data/cc benchmark/segmentation v0.4,segmentation v0.4,1.00x train,"['m-pv4ger-seg', 'm-chesapeake', 'm-cashew-plant', 'm-SA-crop-type', 'm-nz-cattle', 'm-NeonTree']",7,/mnt/data/experiments/nils/camera_segmentation_seeds/1.00x_train_segmentation_v0.4_11-07-2023_16:20:41resnet50_Unet/m-pv4ger-seg/seed_7/csv_logs/version_8,54542,0.9438248342937894,25600.0,0.0181061923503875,580,0.9820138812065125,0.0690925493836402,0.9438117742538452,0.981357216835022,0.0660084411501884,0.9409244060516356,0.9748913049697876,0.9918320178985596,m-pv4ger-seg,/mnt/data/experiments/nils/camera segmentation seeds/1.00x train segmentation v0.4 11-07-2023 16:20:41resnet50 Unet/m-pv4ger-seg/seed 7,/mnt/data/experiments/nils/camera segmentation seeds/1.00x train segmentation v0.4 11-07-2023 16:20:41resnet50 Unet/m-pv4ger-seg/seed 7/csv logs/version 8,ResNet50-U-Net-timm,11-07-2023,2023-11-07
2070,geobench exp.torch toolbox.model generators.py segmentation generator,ResNet50-timm,Unet,imagenet,224,True,0.001202384991209872,0.0017585318652680194,sgd,512,32,False,3,"[3, 224, 224]",/mnt/data/experiments/nils/camera segmentation sweeps,1.00x train,seeded runs,/mnt/data/cc benchmark/segmentation v0.4,segmentation v0.4,1.00x train,"['m-pv4ger-seg', 'm-chesapeake', 'm-cashew-plant', 'm-SA-crop-type', 'm-nz-cattle', 'm-NeonTree']",8,/mnt/data/experiments/nils/camera_segmentation_seeds/1.00x_train_segmentation_v0.4_11-07-2023_16:20:41resnet50_Unet/m-pv4ger-seg/seed_8/csv_logs/version_2,55223,0.9428396224975585,36352.0,0.0192174538969993,587,0.9824597239494324,0.0728626027703285,0.94245183467865,0.9809333682060242,0.0639290139079094,0.9422494769096376,0.9751670360565186,0.991923987865448,m-pv4ger-seg,/mnt/data/experiments/nils/camera segmentation seeds/1.00x train segmentation v0.4 11-07-2023 16:20:41resnet50 Unet/m-pv4ger-seg/seed 8,/mnt/data/experiments/nils/camera segmentation seeds/1.00x train segmentation v0.4 11-07-2023 16:20:41resnet50 Unet/m-pv4ger-seg/seed 8/csv logs/version 2,ResNet50-U-Net-timm,11-07-2023,2023-11-07
2071,geobench exp.torch toolbox.model generators.py segmentation generator,ResNet50-timm,Unet,imagenet,224,True,0.001202384991209872,0.0017585318652680194,sgd,512,32,False,3,"[3, 224, 224]",/mnt/data/experiments/nils/camera segmentation sweeps,1.00x train,seeded runs,/mnt/data/cc benchmark/segmentation v0.4,segmentation v0.4,1.00x train,"['m-pv4ger-seg', 'm-chesapeake', 'm-cashew-plant', 'm-SA-crop-type', 'm-nz-cattle', 'm-NeonTree']",9,/mnt/data/experiments/nils/camera_segmentation_seeds/1.00x_train_segmentation_v0.4_11-07-2023_16:20:41resnet50_Unet/m-pv4ger-seg/seed_9/csv_logs/version_3,55106,0.9444871544837952,24832.0,0.0236145127564668,586,0.9817677736282348,0.0688167586922645,0.9445606470108032,0.9815946221351624,0.0703464597463607,0.940078616142273,0.9748708605766296,0.9918275475502014,m-pv4ger-seg,/mnt/data/experiments/nils/camera segmentation seeds/1.00x train segmentation v0.4 11-07-2023 16:20:41resnet50 Unet/m-pv4ger-seg/seed 9,/mnt/data/experiments/nils/camera segmentation seeds/1.00x train segmentation v0.4 11-07-2023 16:20:41resnet50 Unet/m-pv4ger-seg/seed 9/csv logs/version 3,ResNet50-U-Net-timm,11-07-2023,2023-11-07
