GBIF_species_name
Eschscholzia californica
Xanthium strumarium
Rhus typhina
Plantago lanceolata
Gleditsia triacanthos
Foeniculum vulgare
Campsis radicans
Ailanthus altissima
Platanus occidentalis
Hedera helix
Plantago major
Lonicera japonica
Glechoma hederacea
Trifolium repens
Lamium amplexicaule
Callicarpa americana
Lysimachia arvensis
Taxodium distichum
Phytolacca americana
Liriodendron tulipifera
Berberis thunbergii
Ricinus communis
Juglans nigra
Verbascum thapsus
Taraxacum officinale
Daucus carota
Liquidambar styraciflua
Galium aparine
Trifolium pratense
Morus alba
Oenothera speciosa
Alliaria petiolata
Reynoutria japonica
Pteridium aquilinum
Maclura pomifera
Gaillardia pulchella
Vinca major
Acer negundo
Melia azedarach
Ficaria verna
Achillea millefolium
Pinus strobus
Robinia pseudoacacia
Vicia sativa
Cichorium intybus
Podophyllum peltatum
Arisaema triphyllum
Sassafras albidum
Parthenocissus quinquefolia
Fagus grandifolia
Cercis canadensis
Asclepias syriaca
Onoclea sensibilis
Lamium purpureum
Impatiens capensis
Toxicodendron radicans
Passer domesticus
Anas platyrhynchos
Harmonia axyridis
Pieris rapae
Vanessa atalanta
Vanessa cardui
Coccinella septempunctata
Apis mellifera
Ardea alba
Branta canadensis
Larrea tridentata
Sylvilagus floridanus
Sceloporus occidentalis
Pinus ponderosa
Junonia coenia
Trachemys scripta
Buteo jamaicensis
Agraulis vanillae
Danaus plexippus
Sciurus carolinensis
Polystichum acrostichoides
Ardea herodias
Haemorhous mexicanus
Zenaida macroura
Turdus migratorius
Meleagris gallopavo
Anolis carolinensis
Junco hyemalis
Mimus polyglottos
Anolis sagrei
Sciurus niger
Cardinalis cardinalis
Libellula lydia
Zerynthia polyxena
Bombus impatiens
Xylocopa virginica
Procyon lotor
Erythemis simplicicollis
Odocoileus virginianus
Pachydiplax longipennis
Agelaius phoeniceus
Argiope aurantia
Papilio glaucus
Quiscalus mexicanus
